Loss,Fault Class,Fault Location 1,Fault Location 2,Fault Location 3
0.0225753,0.619,0.826,0.81,0.81
0.1034148,0.7,0.814,0.842,0.82
0.1544986,0.81,0.941,0.847,0.81
0.1235482,0.789,0.878,0.874,0.829
0.1232146,0.758,0.839,0.69,0.834
0.149249,0.819,0.987,0.98,0.818
0.1329361,0.828,0.982,0.962,0.811
0.1241624,0.846,0.981,0.973,0.827
0.1177489,0.861,0.976,0.975,0.838
0.0968474,0.886,0.998,0.997,0.886
0.0945275,0.878,0.99,0.992,0.878
0.0971148,0.891,1.0,1.0,0.891
0.0691966,0.899,0.993,0.995,0.892
0.0609864,0.899,1.0,1.0,0.899
0.0553371,0.914,0.986,0.986,0.914
0.0656652,0.911,1.0,1.0,0.911
0.0549434,0.917,1.0,1.0,0.917
0.0679436,0.915,1.0,1.0,0.906
0.0597051,0.921,1.0,1.0,0.921
0.0482007,0.912,0.98,0.983,0.912
0.0460315,0.936,0.997,0.997,0.928
0.0360123,0.932,0.989,0.989,0.928
0.0288046,0.946,1.0,1.0,0.946
0.0511782,0.936,1.0,1.0,0.936
0.0296639,0.936,1.0,1.0,0.936
0.0304914,0.947,1.0,1.0,0.947
0.0219249,0.947,0.978,0.977,0.947
0.052494,0.923,0.956,0.955,0.918
0.0556528,0.927,0.991,0.989,0.927
0.0327486,0.948,1.0,1.0,0.948
0.0155592,0.941,1.0,1.0,0.941
0.0353496,0.954,1.0,1.0,0.954
0.0380029,0.952,1.0,1.0,0.952
0.0354674,0.952,1.0,1.0,0.952
0.0131875,0.978,1.0,1.0,0.978
0.0107987,0.98,1.0,1.0,0.98
0.0079517,0.979,1.0,1.0,0.979
0.0368056,0.954,1.0,1.0,0.954
0.0010914,0.965,1.0,1.0,0.965
0.0552729,0.931,1.0,1.0,0.931
0.0643273,0.871,0.896,0.901,0.888
0.0092798,0.977,0.985,0.987,0.977
0.0149044,0.98,0.998,0.998,0.98
0.0359296,0.955,1.0,1.0,0.955
0.0171752,0.968,0.997,0.995,0.967
0.0102182,0.986,0.996,0.996,0.984
0.0029725,0.981,1.0,1.0,0.981
0.016182,0.98,1.0,1.0,0.98
0.0016146,0.994,1.0,1.0,0.994
0.0008659,0.986,1.0,1.0,0.986
0.002456,0.997,1.0,1.0,0.997
0.0111477,0.986,1.0,1.0,0.986
0.000908,0.999,1.0,1.0,0.999
0.002802,0.997,1.0,1.0,0.997
0.0001348,1.0,1.0,1.0,1.0
0.0001238,1.0,1.0,1.0,1.0
0.0028545,0.916,1.0,1.0,0.916
0.0189501,0.976,1.0,1.0,0.976
0.0001915,1.0,1.0,1.0,1.0
0.0008945,0.999,1.0,1.0,0.999
0.0005105,1.0,1.0,1.0,1.0
0.0016275,0.998,1.0,1.0,0.998
0.0001011,1.0,1.0,1.0,1.0
9.84e-05,1.0,1.0,1.0,1.0
0.0001009,1.0,1.0,1.0,1.0
0.0012352,0.999,1.0,1.0,0.999
0.0001366,1.0,1.0,1.0,1.0
7.44e-05,1.0,1.0,1.0,1.0
6.1e-05,1.0,1.0,1.0,1.0
5.61e-05,1.0,1.0,1.0,1.0
7.6e-05,1.0,1.0,1.0,1.0
5.8e-05,1.0,1.0,1.0,1.0
4.82e-05,1.0,1.0,1.0,1.0
5.88e-05,1.0,1.0,1.0,1.0
0.0004396,1.0,1.0,1.0,1.0
0.0174856,0.847,0.951,0.939,0.88
0.0099291,0.978,0.98,0.981,0.978
0.0076331,0.987,1.0,1.0,0.987
0.0067635,0.989,1.0,1.0,0.989
0.003364,0.993,1.0,1.0,0.993
0.0070245,0.991,1.0,1.0,0.991
0.0025541,0.994,1.0,1.0,0.994
0.0029096,0.997,1.0,1.0,0.997
0.0054783,0.993,1.0,1.0,0.993
0.0036265,0.994,1.0,1.0,0.994
0.0009179,0.976,1.0,1.0,0.976
0.0127477,0.984,1.0,1.0,0.984
8.95e-05,1.0,1.0,1.0,1.0
7.36e-05,1.0,1.0,1.0,1.0
6.75e-05,1.0,1.0,1.0,1.0
5.65e-05,1.0,1.0,1.0,1.0
0.0008341,0.999,1.0,1.0,0.999
4.61e-05,1.0,1.0,1.0,1.0
3.96e-05,1.0,1.0,1.0,1.0
3.37e-05,1.0,1.0,1.0,1.0
3.14e-05,1.0,1.0,1.0,1.0
3.42e-05,1.0,1.0,1.0,1.0
2.64e-05,1.0,1.0,1.0,1.0
2.54e-05,1.0,1.0,1.0,1.0
2.28e-05,1.0,1.0,1.0,1.0
2.35e-05,1.0,1.0,1.0,1.0
2.28e-05,1.0,1.0,1.0,1.0
2.19e-05,1.0,1.0,1.0,1.0
2.08e-05,1.0,1.0,1.0,1.0
1.95e-05,1.0,1.0,1.0,1.0
1.97e-05,1.0,1.0,1.0,1.0
1.88e-05,1.0,1.0,1.0,1.0
1.84e-05,1.0,1.0,1.0,1.0
1.73e-05,1.0,1.0,1.0,1.0
1.7e-05,1.0,1.0,1.0,1.0
1.74e-05,1.0,1.0,1.0,1.0
1.72e-05,1.0,1.0,1.0,1.0
1.66e-05,1.0,1.0,1.0,1.0
1.5e-05,1.0,1.0,1.0,1.0
1.5e-05,1.0,1.0,1.0,1.0
1.43e-05,1.0,1.0,1.0,1.0
1.48e-05,1.0,1.0,1.0,1.0
1.32e-05,1.0,1.0,1.0,1.0
1.4e-05,1.0,1.0,1.0,1.0
1.44e-05,1.0,1.0,1.0,1.0
1.42e-05,1.0,1.0,1.0,1.0
1.18e-05,1.0,1.0,1.0,1.0
1.16e-05,1.0,1.0,1.0,1.0
1.42e-05,1.0,1.0,1.0,1.0
1.25e-05,1.0,1.0,1.0,1.0
1.28e-05,1.0,1.0,1.0,1.0
2.16e-05,1.0,1.0,1.0,1.0
1e-05,1.0,1.0,1.0,1.0
9.8e-06,1.0,1.0,1.0,1.0
9.4e-06,1.0,1.0,1.0,1.0
9.4e-06,1.0,1.0,1.0,1.0
8.8e-06,1.0,1.0,1.0,1.0
1.07e-05,1.0,1.0,1.0,1.0
8.9e-06,1.0,1.0,1.0,1.0
8.6e-06,1.0,1.0,1.0,1.0
7.5e-06,1.0,1.0,1.0,1.0
7.6e-06,1.0,1.0,1.0,1.0
7.4e-06,1.0,1.0,1.0,1.0
7.9e-06,1.0,1.0,1.0,1.0
6.6e-06,1.0,1.0,1.0,1.0
1.01e-05,1.0,1.0,1.0,1.0
6.3e-06,1.0,1.0,1.0,1.0
6.2e-06,1.0,1.0,1.0,1.0
5.8e-06,1.0,1.0,1.0,1.0
5.9e-06,1.0,1.0,1.0,1.0
6.1e-06,1.0,1.0,1.0,1.0
1.11e-05,1.0,1.0,1.0,1.0
5.9e-06,1.0,1.0,1.0,1.0
5.3e-06,1.0,1.0,1.0,1.0
8.6e-06,1.0,1.0,1.0,1.0
4.7e-06,1.0,1.0,1.0,1.0
4.9e-06,1.0,1.0,1.0,1.0
4.5e-06,1.0,1.0,1.0,1.0
4.3e-06,1.0,1.0,1.0,1.0
4.2e-06,1.0,1.0,1.0,1.0
4.2e-06,1.0,1.0,1.0,1.0
4.8e-06,1.0,1.0,1.0,1.0
3.9e-06,1.0,1.0,1.0,1.0
4.5e-06,1.0,1.0,1.0,1.0
4.5e-06,1.0,1.0,1.0,1.0
3.8e-06,1.0,1.0,1.0,1.0
4.9e-06,1.0,1.0,1.0,1.0
3.6e-06,1.0,1.0,1.0,1.0
3.7e-06,1.0,1.0,1.0,1.0
3.6e-06,1.0,1.0,1.0,1.0
3.4e-06,1.0,1.0,1.0,1.0
3.3e-06,1.0,1.0,1.0,1.0
3.3e-06,1.0,1.0,1.0,1.0
3.7e-06,1.0,1.0,1.0,1.0
3.2e-06,1.0,1.0,1.0,1.0
4.4e-06,1.0,1.0,1.0,1.0
0.0028278,0.997,0.998,0.997,0.997
1.63e-05,1.0,1.0,1.0,1.0
7.1e-06,1.0,1.0,1.0,1.0
